1,1,48612,82,10.4,26.9,62.3,9.8,0.9,80.7,17.3,0.5,0.6,1.7
1,3,162586,102,10.2,23.5,60.3,14.5,1.8,88.4,9.9,0.5,0.4,2.3
1,5,28414,32,22.1,24.3,62.5,11.6,1.6,52.2,46.8,0.4,0.3,3.1
1,7,21516,35,16.8,24.6,63.3,10.9,1.2,76.8,22.5,0.3,0.1,1.4
1,9,55725,86,11.9,24.5,62.1,12.1,1.3,97.1,1.5,0.5,0.2,6.3
1,11,11055,18,26.2,24.7,63.2,10,2.2,27.8,71.4,0.4,0.2,5.9
1,13,20766,27,20,25.6,58.5,13.6,2.4,57.5,41.9,0.2,0.3,0.9
1,15,112141,184,16.4,24.1,61.6,12.7,1.5,78.3,19.7,0.4,0.8,2
1,17,35460,59,16.2,24.8,59.5,13.5,2.2,60.8,38.6,0.1,0.2,1.2
1,19,24522,44,15.2,21.9,61.4,15.2,1.4,93.3,5.5,0.3,0.3,1.1
1,21,41744,60,14.9,25,62.6,11.3,1.2,88.3,10.5,0.3,0.4,3.7
1,23,14807,16,18.7,24.9,59.5,13.7,2,55.7,43.9,0.1,0.1,0.8
1,25,27269,22,19.2,27.3,58.5,12.4,1.8,55.8,43.7,0.2,0.2,0.7
1,27,13964,23,14,22.4,60.3,14.9,2.5,84.2,15,0.3,0.1,2.1
1,29,14460,26,14,23.3,62.6,12.8,1.4,95.3,3.8,0.3,0.2,1.8
1,31,45567,67,13.7,24.5,61.1,12.9,1.5,77.9,18.5,0.9,1.2,3.2
1,33,54660,92,14,23,60.9,14,2,81.9,16.7,0.4,0.3,1.3
1,35,13257,16,22,25.3,59.3,13.4,2.1,55.3,44.1,0.2,0.1,0.9
1,37,11162,17,13.4,23.2,61.2,13.8,1.8,67.6,31.6,0.3,0.1,1.5
1,39,37003,36,17.5,23.4,58.7,15.5,2.5,86.1,12.6,0.5,0.3,0.9
1,41,13727,23,17.6,24.2,58.7,14.9,2.3,74.6,24.6,0.4,0.1,0.8
1,43,79886,108,13.3,23.9,61.3,13.3,1.5,97.3,1.2,0.4,0.3,3.1
1,45,48748,87,15.8,27.7,59.4,11.8,1.2,75.5,20.9,0.5,1.3,3.2
1,47,44366,45,25,29,57.4,12.1,1.5,32.4,66.9,0.1,0.3,0.6
1,49,67271,86,15.1,25,61.2,12.3,1.6,96,1.8,0.8,0.3,8.8
1,51,73937,119,12.5,25.1,64,9.8,1.2,77.3,20.7,0.4,0.5,1.7
1,53,38082,40,18.6,24.4,61.4,12.5,1.7,64.3,31.7,2.9,0.3,1
1,55,103189,193,15.7,24,60.3,13.9,1.8,83.8,14.6,0.3,0.5,2.4
1,57,18228,29,16.1,23.5,60.4,13.6,2.4,87.4,11.8,0.2,0.3,0.9
1,59,30737,48,17.4,24.6,60.2,13.7,1.5,94.1,4.2,0.4,0.6,10.7
1,61,25735,45,17.6,22.9,59.9,15.1,2.1,87.8,10.8,0.7,0.2,2
1,63,9661,15,24.9,28,57.9,12,2.1,19.9,79.7,0.1,0.2,0.7
1,65,18316,28,20.6,26.8,60.6,10.9,1.7,40.3,59.2,0.1,0.2,0.9
1,67,16610,30,16.3,23.7,60.4,13.9,2.1,67.6,31.7,0.2,0,2.1
1,69,94249,162,15.3,25.9,60.2,12.1,1.8,72.2,25.9,0.4,0.7,1.6
1,71,53650,50,14.5,23.7,61.7,13.1,1.5,92.6,3.8,1.6,0.3,1.6
1,73,657229,591,14.4,25.2,61.4,11.7,1.7,56.8,41.2,0.2,1.1,2.3
1,75,14962,25,16.1,22.5,60.4,15.1,2.1,88.1,11.4,0.2,0.1,1.5
1,77,87691,131,15.6,22.9,61.2,14.3,1.7,88.9,9.7,0.3,0.4,1.2
1,79,34605,50,14.4,24.6,62.7,11.5,1.2,79.5,12.1,5.4,0.1,1.4
1,81,123254,202,15.1,25.1,66.5,7.6,0.9,74.1,23,0.2,1.8,1.6
1,83,70469,124,11.8,24.1,64.2,10.5,1.1,85.1,13.2,0.5,0.5,3.3
1,85,13076,18,23.3,29,58.2,11.3,1.5,27.9,71.7,0.1,0.1,0.8
1,87,22810,37,25.8,27,58.6,12.4,2,15.7,82.8,0.1,0.9,1
1,89,298192,370,10.9,25.5,62.5,10.9,1.1,71.7,23.5,0.8,2.1,2.2
1,91,21879,22,20.1,27.8,57.9,12.5,1.8,47.1,52.2,0.1,0.3,1.8
1,93,30154,41,16.8,22.4,60.7,14.8,2.2,95,3.9,0.3,0.2,1.5
1,95,85634,151,15.2,25.7,60.4,12.5,1.4,96.6,1.6,0.5,0.4,8.5
1,97,401427,326,18.5,27.6,60.3,10.8,1.3,62.2,34.5,0.7,1.6,1.3
1,99,23733,23,17.7,27.4,58.4,12.3,1.9,57,41,1,0.3,0.8
1,101,221619,281,18,27.3,60.9,10.3,1.5,45.1,52.5,0.2,1.2,1.4
