State_FIPS_Code,County_FIPS_Code,LBW,LBW_Ind,VLBW,VLBW_Ind,Premature,Premature_Ind,Under_18,Under_18_Ind,Over_40,Over_40_Ind,Unmarried,Unmarried_Ind,Late_Care,Late_Care_Ind,Infant_Mortality,Infant_Mortality_Ind,IM_Wh_Non_Hisp,IM_Wh_Non_Hisp_Ind,IM_Bl_Non_Hisp,IM_Bl_Non_Hisp_Ind,IM_Hisp,IM_Hisp_Ind,IM_Neonatal,IM_Neonatal_Ind,IM_Postneonatal,IM_Postneonatal_Ind,Brst_Cancer,Brst_Cancer_Ind,Col_Cancer,Col_Cancer_Ind,CHD,CHD_Ind,Homicide,Homicide_Ind,Lung_Cancer,Lung_Cancer_Ind,MVA,MVA_Ind,Stroke,Stroke_Ind,Suicide,Suicide_Ind,Injury,Injury_Ind,Total_Births,Total_Deaths
37,41,8.6,4,2,4,13.6,4,8,4,1.1,3,49.6,4,18.5,3,9.1,4,10.1,4,7.2,4,-1111.1,-1,8.5,4,0.6,3,22.8,3,23.6,4,176.5,3,8.7,4,65.4,4,20.9,3,80.9,4,-1111.1,-1,23,3,1986,1785
37,43,6.5,3,1,3,10.8,3,4.3,3,1.5,4,20.2,3,9.1,3,7.6,4,7.7,4,-1111.1,-1,-1111.1,-1,7.6,4,0,3,24.9,4,20.9,4,131.6,3,-1111.1,-1,55.4,3,32.7,4,53.1,3,19.9,4,18.9,3,726,1050
37,45,9.4,4,2.1,4,13.6,4,6.5,4,0.9,3,39.2,4,18,4,10.8,4,9.3,4,15.7,4,-1111.1,-1,7,4,3.8,4,26.9,4,20.7,4,229.8,4,14.7,4,65.5,4,21.6,4,68.5,4,14.4,4,28.2,4,6287,5006
37,47,11,4,2.6,4,15.9,4,6.2,3,1.5,4,45.4,4,27.7,4,11.5,4,8.6,4,17.9,4,-1111.1,-1,10,4,1.5,3,35.4,4,20,3,297,4,14.4,4,70.1,4,41.8,4,75.2,4,10.9,3,29.6,4,3987,3186
37,49,8.4,4,1.9,4,12.1,3,3.9,3,1.3,3,27.7,3,19.9,4,7.2,4,5.4,3,12.9,4,3.8,3,5.2,4,2,3,26.3,4,24.7,4,173.6,3,6.8,4,62.5,4,19,3,71.3,4,10.8,3,27.4,4,7896,4208
37,51,9.6,4,2.5,4,14.5,4,3.4,3,1.2,3,32.4,3,11.8,3,10.9,4,5.8,3,18.5,4,9.3,4,8.3,4,2.6,3,30,4,18,3,235.4,4,11.3,4,62.8,3,19.9,4,64,4,13.9,4,19,3,16032,6135
37,53,8.2,4,1.6,4,12.4,4,3.6,3,2,4,29.2,4,13.9,3,11.1,4,9.2,4,40.3,4,-1111.1,-1,7.8,4,3.3,4,22.8,3,24.6,4,183.5,3,-1111.1,-1,78.5,4,25.5,3,78.4,4,17.2,4,21,3,1991,1612
37,55,7.7,4,1.3,4,11.6,4,3.1,3,3.5,4,30.9,4,11.1,3,8.8,4,8.8,4,-1111.1,-1,-1111.1,-1,7.2,4,1.7,3,28.7,4,16.4,3,123.6,3,-1111.1,-1,73.2,4,17.8,3,55.4,3,12.8,4,36.5,4,1811,1276
37,57,9.1,4,1.9,4,14,4,4.8,4,1.4,3,31.3,4,16.2,4,8.1,4,7.3,4,13.3,4,8.3,4,5.2,4,2.9,4,25.4,3,20,4,210.3,4,5.5,4,66.6,4,24.6,4,70,4,11.5,4,25.4,4,5771,4246
37,59,8.5,4,2,4,13.7,4,3.6,4,1.6,3,25.8,3,8.3,3,12.3,4,11.6,4,-1111.1,-1,19.7,4,10.5,4,1.8,3,19.1,3,19.9,3,190.9,4,-1111.1,-1,50.6,3,21.8,4,71.6,4,6.9,3,18.5,3,2196,1714
37,61,9.1,3,2.1,4,17,4,6,3,1.2,4,46.4,4,21.6,4,8.7,4,6.3,4,12.6,4,8.8,4,6.6,4,2,3,34.7,4,21.2,3,187.4,3,10.1,4,55.6,3,40.5,4,107.1,4,8.8,3,28.7,4,3912,2574
37,63,9.5,4,2.3,4,14.1,4,3.7,4,2.4,4,38.8,4,10,3,6.2,3,3.5,3,10.7,3,3,3,3.7,3,2.6,4,25.6,4,21.3,4,123.4,3,11.1,4,61.8,3,13.5,3,65.4,4,11.4,3,22.7,4,11701,5048
